file,testbench,run,m,n,k,sparsity,a_sparsity,b_sparsity,num_threads,itype,otype,warps,block_m,block_n,queue_depth,status
"run3.log","sgemm_tcu_op",1,32,32,256,0,0.0,0.0,32,"fp8","fp32",2,2,16,4,0
"run4.log","sgemm_tcu_op",2,32,32,256,2,0.2,0.2,32,"fp8","fp32",2,2,16,4,0
"run5.log","sgemm_tcu_op",3,32,32,256,2,0.2,0.6,32,"fp8","fp32",2,2,16,4,0
"run6.log","sgemm_tcu_op",4,32,32,256,2,0.2,0.9,32,"fp8","fp32",2,2,16,4,0
"run7.log","sgemm_tcu_op",5,32,32,256,2,0.6,0.2,32,"fp8","fp32",2,2,16,4,0
"run8.log","sgemm_tcu_op",6,32,32,256,2,0.6,0.6,32,"fp8","fp32",2,2,16,4,0
"run9.log","sgemm_tcu_op",7,32,32,256,2,0.6,0.9,32,"fp8","fp32",2,2,16,4,0
"run10.log","sgemm_tcu_op",8,32,32,256,2,0.9,0.2,32,"fp8","fp32",2,2,16,4,0
"run11.log","sgemm_tcu_op",9,32,32,256,2,0.9,0.6,32,"fp8","fp32",2,2,16,4,0
"run12.log","sgemm_tcu_op",10,32,32,256,2,0.9,0.9,32,"fp8","fp32",2,2,16,4,0
"run4.log","sgemm_tcu_op",2,64,64,512,2,0.2,0.2,32,"fp8","fp32",2,2,16,4,2
"run6.log","sgemm_tcu_op",4,64,64,512,2,0.2,0.9,32,"fp8","fp32",2,2,16,4,0
