file,run,testbench,variant,variant_label,status,shape,dtype,sparsity_mode,a_sparsity,b_sparsity,sparsity_label,total_instructions,kernel_body_cycles,tcu_utilization,memory_reqs,memory_reads,memory_writes,icache_reqs,icache_hits,icache_misses,dcache_reqs,dcache_hits,dcache_misses,dcache_miss_reads,dcache_miss_writes,dcache_bank_stalls
run_b_7.stat,7,sgemm_tcu_op,sgemm_tcu_op_dense,sgemm_tcu_op dense,PASS,128x128x512,fp8,0,0.111389,0.109863,0%,1632,275021,95.32,10646,8931,1715,1632,1505,127,2343,93,2250,613,1637,656
run_b_10.stat,10,sgemm_tcu_op,sgemm_tcu_op_s20,sgemm_tcu_op 20%,PASS,128x128x512,fp8,2,20.2209,20.2423,20%,2255,241932,88.16,10812,8875,1937,2255,2088,167,2987,115,2872,1032,1840,978
run_b_11.stat,11,sgemm_tcu_op,sgemm_tcu_op_s50,sgemm_tcu_op 50%,PASS,128x128x512,fp8,2,49.9496,49.9176,50%,2255,138282,70.27,8508,6571,1937,2255,2088,167,2987,115,2872,1032,1840,978
run_b_12.stat,12,sgemm_tcu_op,sgemm_tcu_op_s90,sgemm_tcu_op 90%,PASS,128x128x512,fp8,2,89.9353,89.8376,90%,2255,54371,28.14,5180,3243,1937,2255,2088,167,2987,115,2872,1032,1840,978
run_b_8.stat,8,sgemm_tcu_op,sgemm_tcu_op_dense,sgemm_tcu_op dense,PASS,128x128x512,fp16,0,0.0,0.0,0%,2992,282788,92.7,18942,17226,1716,2992,2762,230,2343,90,2253,613,1640,656
run_b_13.stat,13,sgemm_tcu_op,sgemm_tcu_op_s20,sgemm_tcu_op 20%,PASS,128x128x512,fp16,2,20.1324,20.1569,20%,4206,251466,84.92,17864,15928,1936,4206,3898,308,2987,112,2875,1032,1843,978
run_b_14.stat,14,sgemm_tcu_op,sgemm_tcu_op_s50,sgemm_tcu_op 50%,PASS,128x128x512,fp16,2,49.8962,49.8566,50%,4206,164243,59.3,13000,11064,1936,4206,3898,308,2987,112,2875,1032,1843,978
run_b_15.stat,15,sgemm_tcu_op,sgemm_tcu_op_s90,sgemm_tcu_op 90%,PASS,128x128x512,fp16,2,89.9246,89.8209,90%,4206,82238,18.62,6344,4408,1936,4206,3898,308,2987,112,2875,1032,1843,978
run_b_9.stat,9,sgemm_tcu_op,sgemm_tcu_op_dense,sgemm_tcu_op dense,PASS,128x128x512,fp32,0,0.0,0.0,0%,5584,447868,58.53,35523,33810,1713,5584,5154,430,2343,90,2253,613,1640,656
run_b_16.stat,16,sgemm_tcu_op,sgemm_tcu_op_s20,sgemm_tcu_op 20%,PASS,128x128x512,fp32,2,20.1599,20.1324,20%,8344,432098,49.33,34188,31274,2914,8344,7734,610,4918,190,4728,2000,2728,1940
run_b_17.stat,17,sgemm_tcu_op,sgemm_tcu_op_s50,sgemm_tcu_op 50%,PASS,128x128x512,fp32,2,49.7375,49.8962,50%,8344,313998,30.97,24460,21546,2914,8344,7734,610,4918,190,4728,2000,2728,1940
run_b_18.stat,18,sgemm_tcu_op,sgemm_tcu_op_s90,sgemm_tcu_op 90%,PASS,128x128x512,fp32,2,90.1062,89.9246,90%,8344,145564,10.4,10636,7722,2914,8344,7734,610,4918,190,4728,2000,2728,1940
