file,run,status,manifest_status,shape,dtype,a_sparsity,b_sparsity,block_m,block_n,queue_depth,crossbar_stall_percent,crossbar_stall_cycles
run_q_1.stat,1,PASS,,64x64x512,fp8,50.1648,49.7955,2,16,1,35.55,13349
run_q_9.stat,9,PASS,,64x64x512,fp8,50.1648,49.7955,4,8,1,52.67,24301
run_q_5.stat,5,PASS,,64x64x512,fp8,90.1306,90.1123,2,16,1,15.43,685
run_q_13.stat,13,PASS,0,64x64x512,fp8,90.1306,90.1123,4,8,1,25.74,854
run_q_2.stat,2,PASS,,64x64x512,fp8,50.1648,49.7955,2,16,2,29.17,9970
run_q_10.stat,10,PASS,,64x64x512,fp8,50.1648,49.7955,4,8,2,44.38,17424
run_q_6.stat,6,PASS,,64x64x512,fp8,90.1306,90.1123,2,16,2,6.92,279
run_q_14.stat,14,PASS,0,64x64x512,fp8,90.1306,90.1123,4,8,2,11.94,334
run_q_3.stat,3,PASS,,64x64x512,fp8,50.1648,49.7955,2,16,4,20.97,6421
run_q_11.stat,11,PASS,,64x64x512,fp8,50.1648,49.7955,4,8,4,36.12,12345
run_q_7.stat,7,PASS,,64x64x512,fp8,90.1306,90.1123,2,16,4,2.97,115
run_q_15.stat,15,PASS,0,64x64x512,fp8,90.1306,90.1123,4,8,4,7.33,195
run_q_4.stat,4,PASS,,64x64x512,fp8,50.1648,49.7955,2,16,8,15.01,4274
run_q_12.stat,12,PASS,,64x64x512,fp8,50.1648,49.7955,4,8,8,29.98,9349
run_q_8.stat,8,PASS,,64x64x512,fp8,90.1306,90.1123,2,16,8,1.42,54
run_q_16.stat,16,PASS,0,64x64x512,fp8,90.1306,90.1123,4,8,8,4.61,119
