file,run,a_label,b_label,total_cycles,body_cycles,total_speedup_vs_A0_B20,body_speedup_vs_A0_B20,tcu_utilization
run_s_56.stat,56,0,20,91373,70839,1.0000,1.0000,92.46
run_s_2.stat,2,20,20,83367,63100,1.0960,1.1226,84.15
run_s_8.stat,8,30,20,77306,57041,1.1820,1.2419,81.59
run_s_14.stat,14,40,20,70835,50570,1.2899,1.4008,79.43
run_s_20.stat,20,50,20,63899,43634,1.4300,1.6235,77.11
run_s_26.stat,26,60,20,57303,37036,1.5946,1.9127,73.59
run_s_32.stat,32,70,20,50604,30337,1.8056,2.3351,68.02
run_s_38.stat,38,80,20,46266,25999,1.9749,2.7247,54.26
run_s_44.stat,44,90,20,44472,24205,2.0546,2.9266,31.23
run_s_50.stat,50,99,20,43110,22843,2.1195,3.1011,11.45
run_s_57.stat,57,0,40,89927,69395,1.0161,1.0208,87.1
run_s_3.stat,3,20,40,80232,59965,1.1389,1.1813,81.74
run_s_9.stat,9,30,40,73859,53594,1.2371,1.3218,80.16
run_s_15.stat,15,40,40,67520,47255,1.3533,1.4991,78.47
run_s_21.stat,21,50,40,60702,40435,1.5053,1.7519,76.78
run_s_27.stat,27,60,40,54546,34279,1.6752,2.0665,73.37
run_s_33.stat,33,70,40,48255,27988,1.8935,2.5310,67.99
run_s_39.stat,39,80,40,43874,23609,2.0826,3.0005,55.12
run_s_45.stat,45,90,40,42098,21833,2.1705,3.2446,31.92
run_s_51.stat,51,99,40,40737,20470,2.2430,3.4606,12.35
run_s_58.stat,58,0,60,81515,60983,1.1209,1.1616,58.45
run_s_4.stat,4,20,60,71670,51403,1.2749,1.3781,56.23
run_s_10.stat,10,30,60,65561,45296,1.3937,1.5639,55.95
run_s_16.stat,16,40,60,59682,39415,1.5310,1.7973,55.53
run_s_22.stat,22,50,60,53855,33590,1.6966,2.1089,54.58
run_s_28.stat,28,60,60,48555,28288,1.8818,2.5042,52.48
run_s_34.stat,34,70,60,43467,23200,2.1021,3.0534,48.53
run_s_40.stat,40,80,60,41309,21044,2.2119,3.3662,36.61
run_s_46.stat,46,90,60,39551,19286,2.3103,3.6731,21.5
run_s_52.stat,52,99,60,38364,18097,2.3817,3.9144,11.67
run_s_59.stat,59,0,80,70058,49524,1.3042,1.4304,66.16
run_s_5.stat,5,20,80,63231,42964,1.4451,1.6488,61.82
run_s_11.stat,11,30,80,58325,38060,1.5666,1.8612,61.17
run_s_17.stat,17,40,80,53628,33361,1.7038,2.1234,60.24
run_s_23.stat,23,50,80,49044,28777,1.8631,2.4617,58.49
run_s_29.stat,29,60,80,44628,24361,2.0474,2.9079,55.97
run_s_35.stat,35,70,80,40568,20303,2.2523,3.4891,50.84
run_s_41.stat,41,80,80,38451,18184,2.3763,3.8957,38.83
run_s_47.stat,47,90,80,36815,16550,2.4820,4.2803,23.09
run_s_53.stat,53,99,80,35661,15394,2.5623,4.6017,13.34
run_s_60.stat,60,0,90,60371,39839,1.5135,1.7781,79.54
run_s_6.stat,6,20,90,55353,35086,1.6507,2.0190,73.25
run_s_12.stat,12,30,90,52010,31745,1.7568,2.2315,70.95
run_s_18.stat,18,40,90,48590,28325,1.8805,2.5009,68.7
run_s_24.stat,24,50,90,45168,24901,2.0230,2.8448,65.49
run_s_30.stat,30,60,90,41934,21667,2.1790,3.2694,61.02
run_s_36.stat,36,70,90,38859,18592,2.3514,3.8102,53.87
run_s_42.stat,42,80,90,37152,16885,2.4594,4.1954,40.69
run_s_48.stat,48,90,90,35637,15370,2.5640,4.6089,24.42
run_s_54.stat,54,99,90,34509,14242,2.6478,4.9740,14.42
run_s_61.stat,61,0,99,41642,21110,2.1943,3.3557,48.5
run_s_7.stat,7,20,99,43583,23318,2.0965,3.0380,36.86
run_s_13.stat,13,30,99,42393,22126,2.1554,3.2016,34.99
run_s_19.stat,19,40,99,41174,20909,2.2192,3.3880,32.96
run_s_25.stat,25,50,99,39959,19694,2.2867,3.5970,30.43
run_s_31.stat,31,60,99,38754,18487,2.3578,3.8318,27.77
run_s_37.stat,37,70,99,37158,16891,2.4590,4.1939,25.1
run_s_43.stat,43,80,99,35847,15580,2.5490,4.5468,21.69
run_s_49.stat,49,90,99,34380,14113,2.6577,5.0194,17.79
run_s_55.stat,55,99,99,33354,13087,2.7395,5.4129,15.66
