figure,driver,app,variant,warps,threads,tile_rows,tile_cols,matrix_rows,matrix_cols,num_ctas,status,returncode,instrs,cycles,ipc,dxa_transfers,dxa_gmem_reads,dxa_gmem_dedup,dxa_gmem_dedup_rate,dxa_lmem_writes,dxa_avg_gmem_lat,summary_status,attempts,configs,env_overrides,command,output_tail
3b,simx,dxa_copy,lsu,8,8,16,16,512,512,,PASS,0,667712,1176067,0.568,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 16,"mode: LSU\ntiles: 16 16\ntotal_elems: 262144, groups: 1024\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=667712, cycles=1176067, IPC=0.568"
3b,simx,dxa_copy,lsu,8,8,16,32,512,512,,PASS,0,546880,893780,0.612,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 16,"mode: LSU\ntiles: 32 16\ntotal_elems: 262144, groups: 512\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=546880, cycles=893780, IPC=0.612"
3b,simx,dxa_copy,lsu,8,8,16,64,512,512,,PASS,0,486464,762676,0.638,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 16,"mode: LSU\ntiles: 64 16\ntotal_elems: 262144, groups: 256\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=486464, cycles=762676, IPC=0.638"
3b,simx,dxa_copy,lsu,8,8,16,128,512,512,,PASS,0,456256,686978,0.664,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 128 -t1 16,"mode: LSU\ntiles: 128 16\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=456256, cycles=686978, IPC=0.664"
3b,simx,dxa_copy,lsu,8,8,32,16,512,512,,PASS,0,628800,1036754,0.607,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 32,"mode: LSU\ntiles: 16 32\ntotal_elems: 262144, groups: 512\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=628800, cycles=1036754, IPC=0.607"
3b,simx,dxa_copy,lsu,8,8,32,32,512,512,,PASS,0,527424,826063,0.638,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 32,"mode: LSU\ntiles: 32 32\ntotal_elems: 262144, groups: 256\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=527424, cycles=826063, IPC=0.638"
3b,simx,dxa_copy,lsu,8,8,32,64,512,512,,PASS,0,476736,721620,0.661,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 32,"mode: LSU\ntiles: 64 32\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=476736, cycles=721620, IPC=0.661"
3b,simx,dxa_copy,lsu,8,8,32,128,512,512,,PASS,0,451392,666790,0.677,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 128 -t1 32,"mode: LSU\ntiles: 128 32\ntotal_elems: 262144, groups: 64\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=451392, cycles=666790, IPC=0.677"
3b,simx,dxa_copy,lsu,8,8,64,16,512,512,,PASS,0,609344,962912,0.633,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 64,"mode: LSU\ntiles: 16 64\ntotal_elems: 262144, groups: 256\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=609344, cycles=962912, IPC=0.633"
3b,simx,dxa_copy,lsu,8,8,64,32,512,512,,PASS,0,517696,790113,0.655,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 64,"mode: LSU\ntiles: 32 64\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=517696, cycles=790113, IPC=0.655"
3b,simx,dxa_copy,lsu,8,8,64,64,512,512,,PASS,0,471872,702005,0.672,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 64,"mode: LSU\ntiles: 64 64\ntotal_elems: 262144, groups: 64\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=471872, cycles=702005, IPC=0.672"
3b,simx,dxa_copy,lsu,8,8,64,128,512,512,,PASS,0,448960,686389,0.654,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 128 -t1 64,"mode: LSU\ntiles: 128 64\ntotal_elems: 262144, groups: 32\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=448960, cycles=686389, IPC=0.654"
3b,simx,dxa_copy,lsu,8,8,128,16,512,512,,PASS,0,599616,928421,0.646,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 16 -t1 128,"mode: LSU\ntiles: 16 128\ntotal_elems: 262144, groups: 128\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=599616, cycles=928421, IPC=0.646"
3b,simx,dxa_copy,lsu,8,8,128,32,512,512,,PASS,0,512832,770867,0.665,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 32 -t1 128,"mode: LSU\ntiles: 32 128\ntotal_elems: 262144, groups: 64\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=512832, cycles=770867, IPC=0.665"
3b,simx,dxa_copy,lsu,8,8,128,64,512,512,,PASS,0,469440,691022,0.679,,,,,,,,1,-DVX_CFG_LMEM_LOG_SIZE=18,DXA_COPY_FORCE_LSU=1,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=6 --app=dxa_copy --args=-d2 -s0 512 -s1 512 -t0 64 -t1 128,"mode: LSU\ntiles: 64 128\ntotal_elems: 262144, groups: 32\nstart\nPASSED\nPERF: l3cache: disabled\nPERF: instrs=469440, cycles=691022, IPC=0.679"
