benchmark,parameters,threads,warps,cores,configuration,status,cycles,dynamic_instructions,issued_instructions,active_lane_instructions,simd_utilization,vx_yield_count,subgroup_switch_count,watchdog_switch_count,peak_live_split_contexts,normalized_time,normalized_instructions,wall_seconds,notes
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,598815,122468,122468,305804,0.31212643302740306,0,0,0,0,1.0,1.0,7.684,
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,900247,218555,218555,374180,0.2140079156276452,38951,35590,0,8,1.5033808438332372,1.7845886272332365,11.945,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,187013,46960,46960,206152,0.548743611584327,0,0,0,0,1.0,1.0,4.577,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,232484,53574,53574,110857,0.258653917945272,9118,8603,0,6,1.2431435247816998,1.1408432708688245,5.279,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,323978,72716,72716,239956,0.41248831068815667,0,0,0,0,1.0,1.0,6.983,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,455718,107666,107666,200368,0.23262682741069604,18882,17647,0,7,1.406632549123706,1.4806369987348038,9.039,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,493727,76592,76592,259928,0.424208794652183,0,0,0,0,1.0,1.0,7.886,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,649107,132260,132260,208740,0.19728186904581885,21832,20544,0,8,1.3147083307171776,1.7268121997075412,12.343,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,439952,51864,51864,235200,0.5668671911152244,0,0,0,0,1.0,1.0,7.476,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,180466,10525,10525,55400,0.6579572446555819,417,320,0,2,0.4101947485180201,0.202934598179855,4.471,
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,444800,55236,55236,238572,0.5398924614381925,0,0,0,0,1.0,1.0,7.881,
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
