benchmark,parameters,threads,warps,cores,configuration,status,cycles,dynamic_instructions,issued_instructions,active_lane_instructions,simd_utilization,vx_yield_count,subgroup_switch_count,watchdog_switch_count,peak_live_split_contexts,normalized_time,normalized_instructions,wall_seconds,notes
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,588050,133904,133904,288216,0.5381019237662803,0,0,0,0,1.0,1.0,5.68,
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,759744,178700,178700,236600,0.3310016787912703,30500,24935,0,4,1.291971771107899,1.3345381766041342,10.442,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,208530,64692,64692,198364,0.7665708279230817,0,0,0,0,1.0,1.0,4.075,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,200417,46408,46408,73562,0.3962786588519221,7296,5928,0,4,0.9610943269553541,0.7173684535954987,3.976,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,333850,87292,87292,227844,0.6525340237364249,0,0,0,0,1.0,1.0,5.427,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,387761,91137,91137,128463,0.35238980874946507,15157,12737,0,4,1.1614827018121912,1.0440475644961738,4.226,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,489259,90852,90852,245164,0.6746246642891736,0,0,0,0,1.0,1.0,7.285,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.034,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,436539,69070,69070,155640,0.5633415375705806,10622,7215,0,2,0.8922452116363726,0.7602474353894245,5.829,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,454257,77208,77208,231520,0.7496632473318827,0,0,0,0,1.0,1.0,7.033,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,332757,20120,20120,51680,0.6421471172962226,832,636,0,2,0.7325302637053475,0.2605947570199979,5.429,
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,455193,77208,77208,231520,0.7496632473318827,0,0,0,0,1.0,1.0,6.98,
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,371252,26505,26505,65770,0.6203546500660253,2109,1405,0,2,0.8155925069146494,0.34329344109418714,4.075,
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,187818,55452,55452,189124,0.8526473346317536,0,0,0,0,1.0,1.0,3.725,
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,119929,20498,20498,52182,0.6364279441896771,2626,1782,0,2,0.6385383722539906,0.3696530332539854,2.873,
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,174531,51000,51000,184672,0.9052549019607843,0,0,0,0,1.0,1.0,2.822,
