app,stall_combo,instrs,cycles,IPC,status,dfv_l1_arb,natural_l1_arb,dfv_bank0,dfv_bank1,dfv_bank2,dfv_bank3,natural_bank3,dfv_l1_arb_rate,natural_l1_arb_rate,dfv_bank0_rate,dfv_bank1_rate,dfv_bank2_rate,dfv_bank3_rate,natural_bank3_rate
relu,none,29904,41644,0.718087,PASS,1,2,-1,-1,1,2,7,0.000024,0.000048,-1,-1,0.000024,0.000048,0.000168
relu,icache_fill_req_N_dcache_fill_req,29904,57769,0.517648,PASS,4,2,-1,-1,6,9,7,0.000069,0.000035,-1,-1,0.000104,0.000156,0.000121
relu,dcache_fill_rsp_N_dcache_core_req,29904,61203,0.488604,PASS,-1,2,4,1,155,288,7,-1,0.000033,0.000065,0.000016,0.002533,0.004706,0.000114
sgemm,none,36756,43123,0.852353,PASS,1,2,-1,-1,-1,-1,7,0.000023,0.000046,-1,-1,-1,-1,0.000162
sgemm,icache_fill_req_N_dcache_fill_req,36756,60719,0.605346,PASS,2,2,2,-1,8,22,7,0.000033,0.000033,0.000033,-1,0.000132,0.000362,0.000115
sgemm,dcache_fill_rsp_N_dcache_core_req,36756,63639,0.57757,PASS,-1,2,6,8,147,337,7,-1,0.000031,0.000094,0.000126,0.002310,0.005295,0.000110
sgemm2,none,149840,87452,1.713397,PASS,2,3,3,44,14,7,3,0.000023,0.000034,0.000034,0.000503,0.000160,0.000080,0.000034
sgemm2,icache_fill_req_N_dcache_fill_req,149840,246268,0.608443,PASS,3,3,-1,50,44,15,3,0.000012,0.000012,-1,0.000203,0.000179,0.000061,0.000012
sgemm2,dcache_fill_rsp_N_dcache_core_req,149840,256789,0.583514,PASS,-1,3,7,1327,793,324,3,-1,0.000012,0.000027,0.005168,0.003088,0.001262,0.000012
sgemv,none,25933,30211,0.858396,PASS,-1,1,-1,-1,1,-1,6,-1,0.000033,-1,-1,0.000033,-1,0.000199
sgemv,icache_fill_req_N_dcache_fill_req,25933,36191,0.716559,PASS,1,1,-1,-1,-1,-1,6,0.000028,0.000028,-1,-1,-1,-1,0.000166
sgemv,dcache_fill_rsp_N_dcache_core_req,25933,36022,0.719921,PASS,-1,1,2,1,-1,4,6,-1,0.000028,0.000056,0.000028,-1,0.000111,0.000167
vecadd,none,29648,42329,0.700418,PASS,-1,-1,-1,-1,4,-1,3,-1,-1,-1,-1,0.000094,-1,0.000071
vecadd,icache_fill_req_N_dcache_fill_req,29648,58270,0.508804,PASS,3,-1,-1,-1,11,14,3,0.000051,-1,-1,-1,0.000189,0.000240,0.000051
vecadd,dcache_fill_rsp_N_dcache_core_req,29648,61637,0.48101,PASS,-1,-1,2,1,153,300,3,-1,-1,0.000032,0.000016,0.002482,0.004867,0.000049
conv3,none,33817,42449,0.79665,PASS,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0.000094
conv3,icache_fill_req_N_dcache_fill_req,33817,60810,0.556109,PASS,2,-1,1,1,13,21,4,0.000033,-1,0.000016,0.000016,0.000214,0.000345,0.000066
