app,stall_combo,instrs,cycles,IPC,status,throttle_reached
relu,none,29904,41644,0.718087,PASS,0
relu,icache_fill_req_backpressure,29904,71187,0.420077,PASS,1
relu,dcache_fill_rsp_backpressure,29904,64628,0.46271,PASS,1
sgemm,none,36756,43123,0.852353,PASS,0
sgemm,icache_fill_req_backpressure,36756,72666,0.505821,PASS,1
sgemm,dcache_fill_rsp_backpressure,36756,66043,0.556547,PASS,1
sgemm2,none,149840,87452,1.713397,PASS,0
sgemm2,icache_fill_req_backpressure,149840,117001,1.280673,PASS,1
sgemm2,dcache_fill_rsp_backpressure,149840,109784,1.364862,PASS,1
sgemv,none,25933,30211,0.858396,PASS,0
sgemv,icache_fill_req_backpressure,25933,59766,0.433909,PASS,1
sgemv,dcache_fill_rsp_backpressure,25933,58800,0.441037,PASS,1
vecadd,none,29648,42329,0.700418,PASS,0
vecadd,icache_fill_req_backpressure,29648,71845,0.412666,PASS,1
vecadd,dcache_fill_rsp_backpressure,29648,65075,0.455597,PASS,1
conv3,none,33817,42449,0.79665,PASS,0
conv3,icache_fill_req_backpressure,33817,71955,0.469974,PASS,1
conv3,dcache_fill_rsp_backpressure,33817,64875,0.521264,PASS,1
cta,none,30162,36705,0.821741,PASS,0
cta,icache_fill_req_backpressure,30162,66199,0.455626,PASS,1
cta,dcache_fill_rsp_backpressure,30162,62151,0.485302,PASS,1
demo,none,59544,65429,0.910055,PASS,1
demo,icache_fill_req_backpressure,59544,94990,0.626845,PASS,2
demo,dcache_fill_rsp_backpressure,59544,82260,0.723851,PASS,2
dotproduct,none,33906,39923,0.849285,PASS,0
dotproduct,icache_fill_req_backpressure,33906,69506,0.487814,PASS,1
dotproduct,dcache_fill_rsp_backpressure,33906,65273,0.519449,PASS,1
dropout,none,31400,42237,0.743424,PASS,0
dropout,icache_fill_req_backpressure,31400,71731,0.437747,PASS,1
dropout,dcache_fill_rsp_backpressure,31400,64789,0.48465,PASS,1
fence,none,59672,66331,0.89961,PASS,1
fence,icache_fill_req_backpressure,59672,95898,0.622244,PASS,2
fence,dcache_fill_rsp_backpressure,59672,83212,0.717108,PASS,2
io_addr,none,92960,93031,0.999237,PASS,0
io_addr,icache_fill_req_backpressure,92960,122525,0.758702,PASS,1
io_addr,dcache_fill_rsp_backpressure,92960,109615,0.848059,PASS,1
madmax,none,98704,59902,1.647758,PASS,1
madmax,icache_fill_req_backpressure,98704,89451,1.103442,PASS,2
madmax,dcache_fill_rsp_backpressure,98704,88383,1.116776,PASS,2
