app,stall_combo,instrs,cycles,IPC,status,ipc_drop_pct
relu,none,29904,41644,0.718087,PASS,-1
relu,dcache_fill_rsp_bank0_slowdown,29903,42334,0.706359,PASS,1.63
relu,dcache_fill_rsp_bank01_slowdown,29903,42334,0.706359,PASS,1.63
relu,dcache_fill_rsp_bank012_slowdown,29903,53364,0.560359,PASS,21.97
sgemm,none,36756,43123,0.852353,PASS,-1
sgemm,dcache_fill_rsp_bank0_slowdown,36755,43517,0.844612,PASS,0.91
sgemm,dcache_fill_rsp_bank01_slowdown,36755,43596,0.843082,PASS,1.09
sgemm,dcache_fill_rsp_bank012_slowdown,36755,54924,0.669197,PASS,21.49
sgemm2,none,149840,87452,1.713397,PASS,-1
sgemm2,dcache_fill_rsp_bank0_slowdown,149839,88315,1.696643,PASS,0.98
sgemm2,dcache_fill_rsp_bank01_slowdown,149839,148398,1.00971,PASS,41.07
sgemm2,dcache_fill_rsp_bank012_slowdown,149839,179457,0.834958,PASS,51.27
sgemv,none,25933,30211,0.858396,PASS,-1
sgemv,dcache_fill_rsp_bank0_slowdown,25932,30419,0.852494,PASS,0.69
sgemv,dcache_fill_rsp_bank01_slowdown,25932,30419,0.852494,PASS,0.69
sgemv,dcache_fill_rsp_bank012_slowdown,25932,30419,0.852494,PASS,0.69
vecadd,none,29648,42329,0.700418,PASS,-1
vecadd,dcache_fill_rsp_bank0_slowdown,29647,42801,0.692671,PASS,1.11
vecadd,dcache_fill_rsp_bank01_slowdown,29647,42801,0.692671,PASS,1.11
vecadd,dcache_fill_rsp_bank012_slowdown,29647,53889,0.550149,PASS,21.45
conv3,none,33817,42449,0.79665,PASS,-1
conv3,dcache_fill_rsp_bank0_slowdown,33817,43511,0.777206,PASS,2.44
conv3,dcache_fill_rsp_bank01_slowdown,33817,43732,0.773278,PASS,2.93
conv3,dcache_fill_rsp_bank012_slowdown,33817,54858,0.616446,PASS,22.62
cta,none,30162,36705,0.821741,PASS,-1
cta,dcache_fill_rsp_bank0_slowdown,30161,37437,0.805647,PASS,1.96
cta,dcache_fill_rsp_bank01_slowdown,30161,37450,0.805367,PASS,1.99
cta,dcache_fill_rsp_bank012_slowdown,30161,42060,0.717095,PASS,12.73
demo,none,59544,65429,0.910055,PASS,-1
demo,dcache_fill_rsp_bank0_slowdown,59543,66815,0.891162,PASS,2.08
demo,dcache_fill_rsp_bank01_slowdown,59543,67314,0.884556,PASS,2.80
demo,dcache_fill_rsp_bank012_slowdown,59543,91635,0.649784,PASS,28.60
dotproduct,none,33906,39923,0.849285,PASS,-1
dotproduct,dcache_fill_rsp_bank0_slowdown,33905,40185,0.843723,PASS,0.65
dotproduct,dcache_fill_rsp_bank01_slowdown,33905,40333,0.840627,PASS,1.02
dotproduct,dcache_fill_rsp_bank012_slowdown,33905,47341,0.716187,PASS,15.67
dropout,none,31400,42237,0.743424,PASS,-1
dropout,dcache_fill_rsp_bank0_slowdown,31400,42700,0.735363,PASS,1.08
dropout,dcache_fill_rsp_bank01_slowdown,31400,42700,0.735363,PASS,1.08
dropout,dcache_fill_rsp_bank012_slowdown,31400,54404,0.577163,PASS,22.36
fence,none,59672,66331,0.89961,PASS,-1
fence,dcache_fill_rsp_bank0_slowdown,59671,68826,0.866983,PASS,3.63
fence,dcache_fill_rsp_bank01_slowdown,59671,70237,0.849566,PASS,5.56
fence,dcache_fill_rsp_bank012_slowdown,59671,95326,0.625968,PASS,30.42
io_addr,none,92960,93031,0.999237,PASS,-1
io_addr,dcache_fill_rsp_bank0_slowdown,92959,95400,0.974413,PASS,2.48
io_addr,dcache_fill_rsp_bank01_slowdown,92959,95400,0.974413,PASS,2.48
io_addr,dcache_fill_rsp_bank012_slowdown,92959,120430,0.771892,PASS,22.75
madmax,none,98704,59902,1.647758,PASS,-1
madmax,dcache_fill_rsp_bank0_slowdown,98703,60340,1.635781,PASS,0.73
madmax,dcache_fill_rsp_bank01_slowdown,98703,60340,1.635781,PASS,0.73
madmax,dcache_fill_rsp_bank012_slowdown,98703,60340,1.635781,PASS,0.73
