model,fedp_latency,mode,threads,warps,issue_width,itype,otype,idle_pct,occupancy,occupancy_pct,simt_util,simt_util_pct,stall_fetch_pct,stall_ibuf_pct,stall_scrb_pct,stall_opds_pct,stall_alu_pct,stall_lsu_pct,stall_sfu_pct,stall_fpu_pct,stall_tcu_pct,mix_alu_pct,mix_lsu_pct,mix_sfu_pct,mix_fpu_pct,mix_tcu_pct,branches,divergent_branches,divergence_pct,ifetch_latency,load_latency,loads,stores,instrs,cycles,ipc,status
baseline,4,RS,8,8,4,fp16,fp32,32,8.0,100,8.0,100,0,0,77,2,6,1,0,0,2,84,8,3,0,5,6336,0,0,4.02,9.39,59904,45568,168032,234768,0.716,PASS
baseline,4,RS,32,8,4,fp16,fp32,43,8.0,100,32.0,100,0,0,66,1,5,4,1,0,2,83,8,3,1,5,816,0,0,4.68,22.53,31232,25088,21568,36126,0.597,PASS
baseline,4,SS,8,8,4,fp16,fp32,32,8.0,100,8.0,100,0,0,73,2,6,0,0,0,3,84,7,3,0,5,6336,0,0,4.02,9.88,43520,45568,160864,224501,0.717,PASS
baseline,4,SS,32,8,4,fp16,fp32,44,8.0,100,32.0,100,0,0,69,1,5,4,1,0,4,83,7,3,1,5,816,0,0,4.71,27.09,23040,25088,20672,35326,0.585,PASS
fedp2k,4,RS,8,8,4,fp16,fp32,31,8.0,100,8.0,100,0,0,71,3,5,2,1,0,1,79,12,4,1,4,6336,0,0,4.1,9.69,59904,45568,110944,155274,0.715,PASS
fedp2k,4,RS,32,8,4,fp16,fp32,47,8.0,100,32.0,100,0,0,56,3,4,6,1,0,1,78,12,5,1,4,816,0,0,5.02,22.5,31232,25088,14208,25786,0.551,PASS
fedp2k,4,SS,8,8,4,fp16,fp32,30,8.0,100,8.0,100,0,0,71,3,5,1,0,0,3,79,11,5,1,5,6336,0,0,4.03,9.86,43520,45568,100128,137848,0.726,PASS
fedp2k,4,SS,32,8,4,fp16,fp32,48,7.9,99,32.0,100,0,0,53,1,3,6,1,0,4,78,11,5,1,4,816,0,0,5.1,27.13,23040,25088,13104,24392,0.537,PASS
fedp2k,8,RS,8,8,4,fp16,fp32,31,8.0,100,8.0,100,0,0,73,3,5,1,1,0,2,79,12,4,1,4,6336,0,0,4.1,9.61,59904,45568,110944,155220,0.715,PASS
fedp2k,8,RS,32,8,4,fp16,fp32,47,8.0,100,32.0,100,0,0,56,3,4,6,1,0,1,78,12,5,1,4,816,0,0,5.02,22.5,31232,25088,14208,25786,0.551,PASS
fedp2k,8,SS,8,8,4,fp16,fp32,30,8.0,100,8.0,100,0,0,68,3,5,1,1,0,4,79,11,5,1,5,6336,0,0,4.03,10.05,43520,45568,100128,137867,0.726,PASS
fedp2k,8,SS,32,8,4,fp16,fp32,48,8.0,99,32.0,100,0,0,61,1,3,6,1,0,4,78,11,5,1,4,816,0,0,5.1,27.26,23040,25088,13104,24291,0.539,PASS
