model,fedp_latency,mode,threads,warps,issue_width,itype,otype,idle_pct,occupancy,occupancy_pct,simt_util,simt_util_pct,stall_fetch_pct,stall_ibuf_pct,stall_scrb_pct,stall_opds_pct,stall_alu_pct,stall_lsu_pct,stall_sfu_pct,stall_fpu_pct,stall_tcu_pct,mix_alu_pct,mix_lsu_pct,mix_sfu_pct,mix_fpu_pct,mix_tcu_pct,branches,divergent_branches,divergence_pct,ifetch_latency,load_latency,loads,stores,instrs,cycles,ipc,status
baseline,4,RS,8,8,4,fp16,fp32,32,8.0,100,7.9,99,0,0,69,1,5,1,0,0,2,82,8,5,0,5,7936,512,6,4.02,9.32,59904,46080,172960,243040,0.712,PASS
baseline,4,RS,32,8,4,fp16,fp32,43,7.9,99,31.5,99,0,0,62,1,5,4,1,0,2,81,8,5,1,5,1024,64,6,4.67,21.85,31232,25152,22240,37409,0.595,PASS
baseline,4,SS,8,8,4,fp16,fp32,33,8.0,100,7.8,98,0,0,70,1,6,0,0,0,3,82,7,5,0,6,7936,512,6,4.02,9.94,43520,46592,167392,239417,0.699,PASS
baseline,4,SS,32,8,4,fp16,fp32,43,8.0,99,31.3,98,0,0,68,1,5,4,1,0,4,81,8,5,1,5,1024,64,6,4.69,26.6,23040,25216,21552,36545,0.59,PASS
fedp2k,4,RS,8,8,4,fp16,fp32,34,8.0,100,7.8,98,0,0,66,3,5,1,1,0,1,77,12,7,0,4,7936,512,6,4.1,9.6,59904,46080,115872,169531,0.683,PASS
fedp2k,4,RS,32,8,4,fp16,fp32,47,8.0,100,31.3,98,0,0,54,2,3,5,1,0,1,76,12,7,1,4,1024,64,6,4.98,22.05,31232,25152,14880,27394,0.543,PASS
fedp2k,4,SS,8,8,4,fp16,fp32,30,7.9,99,7.7,97,0,0,61,3,4,1,1,0,2,76,11,7,1,5,7936,512,6,4.03,9.48,43520,46592,106656,147193,0.725,PASS
fedp2k,4,SS,32,8,4,fp16,fp32,48,7.9,99,31.0,97,0,0,50,2,3,5,1,0,4,75,12,8,1,5,1024,64,6,5.04,26.94,23040,25216,13984,26141,0.535,PASS
fedp2k,8,RS,8,8,4,fp16,fp32,33,8.0,100,7.8,98,0,0,66,3,5,1,1,0,2,77,12,7,0,4,7936,512,6,4.11,9.7,59904,46080,115872,167617,0.691,PASS
fedp2k,8,RS,32,8,4,fp16,fp32,47,8.0,100,31.3,98,0,0,54,2,3,5,1,0,2,76,12,7,1,4,1024,64,6,4.98,22.02,31232,25152,14880,27285,0.545,PASS
fedp2k,8,SS,8,8,4,fp16,fp32,30,7.9,99,7.7,97,0,0,60,3,4,0,1,0,3,76,11,7,1,5,7936,512,6,4.03,9.52,43520,46592,106656,147023,0.725,PASS
fedp2k,8,SS,32,8,4,fp16,fp32,48,7.9,99,31.0,97,0,0,51,2,3,5,1,0,5,75,12,8,1,5,1024,64,6,5.04,26.75,23040,25216,13984,26256,0.533,PASS
