model,fedp_latency,mode,threads,warps,issue_width,itype,otype,idle_pct,occupancy,occupancy_pct,simt_util,simt_util_pct,stall_fetch_pct,stall_ibuf_pct,stall_scrb_pct,stall_opds_pct,stall_alu_pct,stall_lsu_pct,stall_sfu_pct,stall_fpu_pct,stall_tcu_pct,mix_alu_pct,mix_lsu_pct,mix_sfu_pct,mix_fpu_pct,mix_tcu_pct,branches,divergent_branches,divergence_pct,ifetch_latency,load_latency,loads,stores,instrs,cycles,ipc,status
baseline,4,RS,8,8,4,fp16,fp32,60,8.0,99,8.0,100,0,0,57,0,1,9,1,0,1,71,9,16,0,4,13056,0,0,4.23,41.85,61440,36864,138592,335658,0.413,PASS
baseline,4,SS,8,8,4,fp16,fp32,61,8.0,100,8.0,100,0,0,57,0,0,9,1,0,1,70,9,17,0,4,13056,0,0,4.23,46.96,53248,36864,132384,331183,0.400,PASS
baseline,4,RS,32,8,4,fp16,fp32,90,7.9,99,32.0,100,0,0,66,0,0,17,3,0,0,69,10,16,1,4,1664,0,0,12.75,173.62,35328,23552,17760,169411,0.105,PASS
baseline,4,SS,32,8,4,fp16,fp32,90,7.9,99,32.0,100,0,0,66,0,0,18,3,0,0,68,10,17,1,4,1664,0,0,13.08,208.59,31232,23552,16992,168734,0.101,PASS
fedp2k,4,RS,8,8,4,fp16,fp32,65,8.0,100,8.0,100,0,0,59,1,0,8,2,0,0,69,10,17,0,4,13056,0,0,4.29,45.74,66048,37376,131104,360829,0.363,PASS
fedp2k,4,SS,8,8,4,fp16,fp32,68,8.0,100,8.0,100,0,0,64,0,0,9,4,0,1,68,10,18,0,4,13056,0,0,4.29,54.27,57856,37376,124960,382144,0.327,PASS
fedp2k,4,RS,32,8,4,fp16,fp32,90,7.9,98,32.0,100,0,0,64,0,0,16,4,0,0,68,11,17,1,4,1664,0,0,12.97,171.89,35328,23552,17376,169277,0.103,PASS
fedp2k,4,SS,32,8,4,fp16,fp32,91,7.8,98,32.0,100,0,0,67,0,0,18,2,0,0,67,10,18,1,4,1664,0,0,13.30,208.78,31232,23552,16608,170203,0.098,PASS
fedp2k,8,RS,8,8,4,fp16,fp32,64,7.9,99,8.0,100,0,0,60,1,0,9,2,0,1,69,10,17,0,4,13056,0,0,4.28,45.83,66048,37376,131104,356623,0.368,PASS
fedp2k,8,SS,8,8,4,fp16,fp32,68,8.0,100,8.0,100,0,0,64,0,0,9,4,0,1,68,10,18,0,4,13056,0,0,4.29,54.27,57856,37376,124960,382144,0.327,PASS
fedp2k,8,RS,32,8,4,fp16,fp32,90,7.9,98,32.0,100,0,0,64,0,0,16,4,0,0,68,11,17,1,4,1664,0,0,12.97,172.00,35328,23552,17376,169287,0.103,PASS
fedp2k,8,SS,32,8,4,fp16,fp32,91,7.9,98,32.0,100,0,0,67,0,0,17,2,0,0,67,10,18,1,4,1664,0,0,13.30,209.51,31232,23552,16608,170430,0.097,PASS
