test,warps,threads,itype,otype,idle_pct,occupancy,occupancy_pct,simt_util,simt_util_pct,stall_fetch_pct,stall_ibuf_pct,stall_scrb_pct,stall_opds_pct,stall_alu_pct,stall_lsu_pct,stall_sfu_pct,stall_fpu_pct,stall_tcu_pct,mix_alu_pct,mix_lsu_pct,mix_sfu_pct,mix_fpu_pct,mix_tcu_pct,branches,divergent_branches,divergence_pct,ifetch_latency,load_latency,loads,stores,instrs,cycles,ipc,status
sgemm_tcu,8,8,fp16,fp32,71,7.9,99,8.0,100,0,14,96,1,0,0,0,0,0,39,21,4,2,34,448,0,0,4.70,14.83,35328,4608,24096,51656,0.466,PASS
sgemm_tcu,8,8,fp8,fp32,72,7.9,98,8.0,100,0,3,95,5,0,0,0,0,0,38,22,5,4,31,320,0,0,4.41,13.72,18944,4608,13408,28613,0.469,PASS
sgemm_tcu,8,8,int8,int32,72,7.9,98,8.0,100,0,3,95,5,0,0,0,0,0,38,22,5,4,31,320,0,0,4.41,13.72,18944,4608,13408,28613,0.469,PASS
sgemm_tcu,8,8,int4,int32,72,7.9,98,8.0,100,0,3,95,5,0,0,0,0,0,38,22,5,4,31,320,0,0,4.41,13.72,18944,4608,13408,28613,0.469,PASS
sgemm_tcu_sp,8,8,fp16,fp32,64,7.7,96,8.0,100,0,8,95,2,0,0,0,0,0,48,21,5,3,23,448,0,0,4.56,13.83,29696,4608,19168,40169,0.477,PASS
sgemm_tcu_sp,8,8,fp8,fp32,65,7.7,96,8.0,100,0,11,95,5,0,0,0,0,0,47,22,7,5,19,320,0,0,4.75,13.63,16384,4608,11296,24135,0.468,PASS
sgemm_tcu_sp,8,8,int8,int32,65,7.7,96,8.0,100,0,11,95,5,0,0,0,0,0,47,22,7,5,19,320,0,0,4.75,13.63,16384,4608,11296,24135,0.468,PASS
sgemm_tcu_sp,8,8,int4,int32,76,7.9,99,8.0,100,1,36,96,4,0,0,0,0,0,46,22,7,5,20,320,0,0,6.46,20.73,17408,4608,11424,33044,0.346,PASS
sgemm_tcu_mx,8,8,mxfp8,fp32,74,7.9,99,8.0,100,0,21,97,3,0,0,0,0,0,41,20,6,4,29,320,0,0,4.98,16.17,22016,4608,15264,38792,0.393,PASS
sgemm_tcu_mx,8,8,mxfp4,fp32,78,7.9,99,8.0,100,0,17,96,4,0,0,0,0,0,42,21,7,6,23,256,0,0,5.14,21.51,12800,4608,9568,28382,0.337,PASS
sgemm_tcu_mx,8,8,nvfp4,fp32,78,7.9,99,8.0,100,0,17,96,4,0,0,0,0,0,42,21,7,6,23,256,0,0,5.14,21.51,12800,4608,9568,28382,0.337,PASS
sgemm_tcu_mx,8,8,mxint8,int32,74,7.9,99,8.0,100,0,21,97,3,0,0,0,0,0,41,20,6,4,29,320,0,0,4.98,16.17,22016,4608,15264,38792,0.393,PASS
sgemm_tcu_sp_mx,8,8,mxfp8,fp32,70,7.9,99,8.0,100,0,19,97,4,0,0,0,0,0,48,20,8,4,19,320,0,0,4.91,15.13,19456,4608,13024,32714,0.398,PASS
sgemm_tcu_sp_mx,8,8,mxfp4,fp32,75,7.8,98,8.0,100,0,28,97,4,0,0,0,0,0,49,21,9,7,15,256,0,0,5.75,17.34,12288,4608,8736,25764,0.339,PASS
sgemm_tcu_sp_mx,8,8,nvfp4,fp32,75,7.8,98,8.0,100,0,28,97,4,0,0,0,0,0,49,21,9,7,15,256,0,0,5.75,17.34,12288,4608,8736,25764,0.339,PASS
sgemm_tcu_sp_mx,8,8,mxint8,int32,70,7.9,99,8.0,100,0,19,97,4,0,0,0,0,0,48,20,8,4,19,320,0,0,4.91,15.13,19456,4608,13024,32714,0.398,PASS
