test,warps,threads,itype,otype,idle_pct,occupancy,occupancy_pct,simt_util,simt_util_pct,stall_fetch_pct,stall_ibuf_pct,stall_scrb_pct,stall_opds_pct,stall_alu_pct,stall_lsu_pct,stall_sfu_pct,stall_fpu_pct,stall_tcu_pct,mix_alu_pct,mix_lsu_pct,mix_sfu_pct,mix_fpu_pct,mix_tcu_pct,branches,divergent_branches,divergence_pct,ifetch_latency,load_latency,loads,stores,instrs,cycles,ipc,status
sgemm_tcu,8,8,fp16,fp32,64,7.8,97,8.0,100,0,0,92,2,2,45,0,0,37,39,21,4,2,34,448,0,0,4.14,14.04,35328,4608,24096,45058,0.535,PASS
sgemm_tcu,8,8,fp8,fp32,64,7.6,95,8.0,100,0,0,90,5,2,47,0,1,31,38,22,5,4,31,320,0,0,4.24,14.55,18944,4608,13408,26332,0.509,PASS
sgemm_tcu,8,8,int8,int32,64,7.6,95,8.0,100,0,0,90,5,2,47,0,1,31,38,22,5,4,31,320,0,0,4.24,14.55,18944,4608,13408,26332,0.509,PASS
sgemm_tcu,8,8,int4,int32,64,7.6,95,8.0,100,0,0,90,5,2,47,0,1,31,38,22,5,4,31,320,0,0,4.24,14.55,18944,4608,13408,26332,0.509,PASS
sgemm_tcu_sp,8,8,fp16,fp32,56,7.9,98,8.0,100,0,0,95,2,5,47,0,0,22,48,21,5,3,23,448,0,0,4.15,15.02,27648,4608,19168,34809,0.551,PASS
sgemm_tcu_sp,8,8,fp8,fp32,65,7.8,98,8.0,100,0,0,94,4,2,60,0,1,14,47,22,7,5,19,320,0,0,4.25,21.93,15360,4608,11296,27150,0.416,PASS
sgemm_tcu_sp,8,8,int8,int32,65,7.8,98,8.0,100,0,0,94,4,2,60,0,1,14,47,22,7,5,19,320,0,0,4.25,21.93,15360,4608,11296,27150,0.416,PASS
sgemm_tcu_sp,8,8,int4,int32,64,7.8,98,8.0,100,0,0,87,4,3,57,0,1,15,46,22,7,5,20,320,0,0,4.24,21.13,15360,4608,11424,26686,0.428,PASS
sgemm_tcu_mx,8,8,mxfp8,fp32,61,7.8,98,8.0,100,0,0,94,5,3,47,0,0,28,41,20,6,4,29,320,0,0,4.19,16.13,19968,4608,15264,29156,0.524,PASS
sgemm_tcu_mx,8,8,mxfp4,fp32,66,7.6,95,8.0,100,0,0,82,5,3,53,0,1,19,42,21,7,6,23,256,0,0,4.28,19.60,11776,4608,9568,22413,0.427,PASS
sgemm_tcu_mx,8,8,nvfp4,fp32,66,7.6,95,8.0,100,0,0,82,5,3,53,0,1,19,42,21,7,6,23,256,0,0,4.28,19.60,11776,4608,9568,22413,0.427,PASS
sgemm_tcu_mx,8,8,mxint8,int32,61,7.8,98,8.0,100,0,0,94,5,3,47,0,0,28,41,20,6,4,29,320,0,0,4.19,16.13,19968,4608,15264,29156,0.524,PASS
sgemm_tcu_sp_mx,8,8,mxfp8,fp32,61,7.9,99,8.0,100,0,0,93,4,3,56,0,0,14,48,20,8,4,19,320,0,0,4.20,21.96,16384,4608,13024,28793,0.452,PASS
sgemm_tcu_sp_mx,8,8,mxfp4,fp32,66,7.9,99,8.0,100,0,0,90,4,4,65,0,1,10,49,21,9,7,15,256,0,0,4.31,28.30,10240,4608,8736,23192,0.377,PASS
sgemm_tcu_sp_mx,8,8,nvfp4,fp32,66,7.9,99,8.0,100,0,0,90,4,4,65,0,1,10,49,21,9,7,15,256,0,0,4.31,28.30,10240,4608,8736,23192,0.377,PASS
sgemm_tcu_sp_mx,8,8,mxint8,int32,61,7.9,99,8.0,100,0,0,93,4,3,56,0,0,14,48,20,8,4,19,320,0,0,4.20,21.96,16384,4608,13024,28793,0.452,PASS
