format,N,target_clock_mhz,fmax_mhz,slack_ns,tns_ns,cell_area_um2,seq_area_um2,sram_area_um2,cell_count,total_power_mw,static_power_mw
fp16,2,1500,1382.234,-0.0568,-1.9011,720.864,120.431,0.0,8268,2.33,0.00463
fp16,4,1500,1366.369,-0.0652,-2.1584,744.703,120.722,0.0,9235,2.32,0.0048
fp16,8,1500,1362.274,-0.0674,-2.6509,748.071,121.014,0.0,10428,2.31,0.00488
fp16,16,1500,1323.16,-0.0891,-2.7973,762.242,121.306,0.0,12972,3.01,0.00485
mxfp4,2,1500,1376.715,-0.0597,-1.0955,513.274,97.686,0.0,5733,2.41,0.00302
mxfp4,4,1500,1422.745,-0.0362,-0.6294,520.608,101.768,0.0,6153,2.34,0.00307
mxfp4,8,1500,1410.305,-0.0424,-1.083,530.625,104.101,0.0,7067,2.27,0.00316
mxfp4,16,1500,1383.19,-0.0563,-1.7473,541.749,108.184,0.0,8720,2.27,0.00323
nvfp4,2,1500,1118.36,-0.2275,-17.4955,719.086,111.683,0.0,8004,11.8,0.00418
nvfp4,4,1500,1080.302,-0.259,-23.9094,724.699,115.474,0.0,8326,11.0,0.00422
nvfp4,8,1500,1092.578,-0.2486,-27.8002,737.456,117.806,0.0,8946,11.0,0.00427
nvfp4,16,1500,1121.118,-0.2253,-26.3167,757.358,121.889,0.0,10014,11.2,0.00447
rzr4,2,1500,945.12,-0.3914,-38.773,737.048,111.683,0.0,8279,14.6,0.00415
rzr4,4,1500,915.36,-0.4258,-37.8994,741.685,111.974,0.0,8546,13.9,0.00423
rzr4,8,1500,939.526,-0.3977,-38.2104,737.486,112.266,0.0,8920,14.7,0.00422
rzr4,16,1500,948.077,-0.3881,-38.6895,766.398,112.558,0.0,10206,13.9,0.00437
if4,2,1500,677.935,-0.8084,-112.3279,1198.155,121.014,0.0,13415,130.0,0.00669
if4,4,1500,672.691,-0.8199,-120.3771,1227.169,124.805,0.0,13909,137.0,0.00679
if4,8,1500,697.658,-0.7667,-117.0901,1227.374,127.138,0.0,14192,132.0,0.0068
if4,16,1500,677.798,-0.8087,-131.2379,1247.917,131.22,0.0,15145,123.0,0.00699
mxfp8,2,1500,1337.137,-0.0812,-8.0144,720.762,121.014,0.0,8033,5.28,0.00416
mxfp8,4,1500,1187.554,-0.1754,-19.4999,736.217,121.306,0.0,8482,5.52,0.00423
mxfp8,8,1500,1229.76,-0.1465,-15.9275,746.656,121.597,0.0,9020,5.93,0.00425
mxfp8,16,1500,1294.89,-0.1056,-13.6089,756.746,121.889,0.0,9951,6.09,0.00433
# --- rows below: feature_mx rebased onto master's tip (post yosys/OpenSTA "signed"-strip fix + other master RTL changes) ---
# --- nvfp4/lnsf4 pair below is self-consistent (same tree, same run); NOT directly comparable to the nvfp4 row above (different baseline) ---
nvfp4_postrebase,2,1500,856.262,-0.5012,-40.6391,992.883,111.683,0.0,10467,15.5,0.00605
nvfp4_postrebase,4,1500,865.301,-0.489,-38.0117,1013.427,115.182,0.0,10632,15.6,0.00619
nvfp4_postrebase,8,1500,857.952,-0.4989,-59.0931,1026.388,117.515,0.0,10840,15.6,0.00623
nvfp4_postrebase,16,1500,861.945,-0.4935,-71.6335,1052.341,122.18,0.0,11128,15.6,0.00643
lnsf4_postrebase,2,1500,854.798,-0.5032,-39.8193,981.584,111.683,0.0,10424,13.0,0.0059
lnsf4_postrebase,4,1500,852.466,-0.5064,-39.0032,1001.004,115.182,0.0,10586,13.1,0.00606
lnsf4_postrebase,8,1500,860.018,-0.4961,-59.7214,1018.092,117.515,0.0,10806,13.1,0.00613
lnsf4_postrebase,16,1500,859.648,-0.4966,-74.001,1042.528,122.18,0.0,11122,13.1,0.00632
# --- lnsf4_nofrac: experiment, discards the LNS fractional octave entirely (no antilog LUT) ---
# --- collapses scale_mul into a synthesis-time constant shift; NOT functionally correct (precision loss), hardware-cost probe only ---
lnsf4_nofrac,2,1500,1234.924,-0.1431,-8.1025,769.372,102.352,0.0,8144,3.42,0.00473
lnsf4_nofrac,4,1500,1236.909,-0.1418,-10.8018,789.303,105.851,0.0,8283,3.55,0.00487
lnsf4_nofrac,8,1500,1227.647,-0.1479,-12.5615,806.653,108.184,0.0,8504,3.46,0.00497
lnsf4_nofrac,16,1500,1198.945,-0.1674,-23.1616,835.696,112.849,0.0,8863,3.6,0.00517
# --- fedp32_*: real (not extrapolated) synthesis of 32x independent VX_tcu_fedp_tfr(N=4) instances ---
# --- via a throwaway wrapper module (VX_fedp32_wrapper, not checked in) since VX_tcu_unit_top hits a ---
# --- pre-existing sv2v/Yosys parameter-folding bug in VX_tcu_core.sv's MX metadata indexing (confirmed ---
# --- on pristine origin/master too, unrelated to this branch's work) whenever any MX TCU format is enabled ---
nvfp4_fedp32,32x4,1500,843.834,-0.5184,-1384.8563,32131.71,3695.155,0.0,340331,493.0,0.00194
lnsf4_fedp32,32x4,1500,842.555,-0.5202,-1337.353,31984.831,3695.155,0.0,339385,417.0,0.00193
# --- lnsf4_fedp32_shared: same 32x FEDP(N=4) wrapper, but GROUP_SIZE FEDPs tied to one shared sf_a/sf_b ---
# --- pair each (one antilog-LUT-and-adder computation per group), relying on Yosys's own opt_merge to ---
# --- collapse the resulting identical redundant per-instance logic -- no VX_tcu_fedp_tfr interface change ---
lnsf4_fedp32_shared_g4,32x4,1500,837.965,-0.5267,-1345.1614,31953.805,3695.155,0.0,338639,418.0,0.00193
lnsf4_fedp32_shared_g8,32x4,1500,840.996,-0.5224,-1351.7761,31833.841,3695.155,0.0,338276,417.0,0.00192
